Rank,Name,Year,Revenues,Revenue Percent Change,Profits,Profits Percent Change,Assets,Employees,Change in Rank,Newcomer,Sector,Country,City,lat,lng
48,JPMorgan Chase & Co.,2017,"$105,486.00 ",4.40%,"$24,733.00 ",1.20%,"$2,490,972.00 ","243,355",7,no,Financials,U.S.,New York,40.6943,-73.9249
74,Citigroup,2017,"$82,386.00 ",-6.70%,"$14,912.00 ",-13.50%,"$1,792,077.00 ","219,000",-4,no,Financials,U.S.,New York,40.6943,-73.9249
81,IBM,2017,"$79,919.00 ",-3.10%,"$11,872.00 ",-10%,"$117,470.00 ","414,400",1,no,Technology,U.S.,New York,40.6943,-73.9249
11,Berkshire Hathaway,2021,"$245,510.00 ",-4%,"$42,521.00 ",-47.80%,"$873,729.00 ","360,000",3,no,Financials,U.S.,Omaha,41.2627,-96.0522
14,Berkshire Hathaway,2020,"$254,616.00 ",2.70%,"$81,417.00 ",1924.80%,"$817,729.00 ","391,500",-2,no,Financials,U.S.,Omaha,41.2627,-96.0522
12,Berkshire Hathaway,2019,"$247,837.00 ",2%,"$4,021.00 ",-91.10%,"$707,794.00 ","389,000",-2,no,Financials,U.S.,Omaha,41.2627,-96.0522
10,Berkshire Hathaway,2018,"$242,137.00 ",8.30%,"$44,940.00 ",86.70%,"$702,095.00 ","377,000",-2,no,Financials,U.S.,Omaha,41.2627,-96.0522
8,Berkshire Hathaway,2017,"$223,604.00 ",6.10%,"$24,074.00 ",-,"$620,854.00 ","367,700",3,no,Financials,U.S.,Omaha,41.2627,-96.0522
17,AmerisourceBergen,2021,"$189,893.90 ",6%,"($3,408.70)",-498.50%,"$44,274.80 ","21,500",6,no,Wholesalers,U.S.,Pennsylvania,39.8226,-75.8742
23,AmerisourceBergen,2020,"$179,589.00 ",6.90%,$855.40 ,-48.40%,"$39,172.00 ","21,500",4,no,Wholesalers,U.S.,Pennsylvania,39.8226,-75.8742
27,AmerisourceBergen,2019,"$167,939.60 ",10%,"$1,658.40 ",355%,"$37,669.80 ","20,500",-2,no,Wholesalers,U.S.,Pennsylvania,39.8226,-75.8742
25,AmerisourceBergen,2018,"$153,144.00 ",4.30%,$364.50 ,-74.50%,"$35,316.50 ","19,500",-2,no,Wholesalers,U.S.,Pennsylvania,39.8226,-75.8742
23,AmerisourceBergen,2017,"$146,850.00 ",8%,"$1,427.90 ",-,"$33,656.00 ","18,500",5,no,Wholesalers,U.S.,Pennsylvania,39.8226,-75.8742
64,Comcast,2021,"$103,564.00 ",-5%,"$10,534.00 ",-19.30%,"$273,869.00 ","168,000",-1,no,Telecommunications,U.S.,Philadelphia,40.0077,-75.1339
63,Comcast,2020,"$108,942.00 ",15.30%,"$13,057.00 ",11.30%,"$263,414.00 ","190,000",12,no,Telecommunications,U.S.,Philadelphia,40.0077,-75.1339
75,Comcast,2019,"$94,507.00 ",12%,"$11,731.00 ",-48.40%,"$251,684.00 ","184,000",5,no,Telecommunications,U.S.,Philadelphia,40.0077,-75.1339
80,Comcast,2018,"$84,526.00 ",5.10%,"$22,714.00 ",161.20%,"$186,949.00 ","164,000",-1,no,Telecommunications,U.S.,Philadelphia,40.0077,-75.1339
79,Comcast,2017,"$80,403.00 ",7.90%,"$8,695.00 ",6.50%,"$180,500.00 ","159,000",17,no,Telecommunications,U.S.,Philadelphia,40.0077,-75.1339
33,Microsoft,2021,"$143,015.00 ",14%,"$44,281.00 ",12.80%,"$301,311.00 ","163,000",14,no,Technology,U.S.,Redmond,47.6762,-122.1169
47,Microsoft,2020,"$125,843.00 ",14%,"$39,240.00 ",136.80%,"$286,556.00 ","144,000",13,no,Technology,U.S.,Redmond,47.6762,-122.1169
60,Microsoft,2019,"$110,360.00 ",23%,"$16,571.00 ",-21.80%,"$258,848.00 ","131,000",11,no,Technology,U.S.,Redmond,47.6762,-122.1169
71,Microsoft,2018,"$89,950.00 ",5.40%,"$21,204.00 ",26.20%,"$241,086.00 ","124,000",-2,no,Technology,U.S.,Redmond,47.6762,-122.1169
69,Microsoft,2017,"$85,320.00 ",-8.80%,"$16,798.00 ",37.80%,"$193,694.00 ","114,000",-6,no,Technology,U.S.,Redmond,47.6762,-122.1169
71,Valero Energy,2020,"$102,729.00 ",-7.80%,"$2,422.00 ",-22.40%,"$53,864.00 ","10,222",-14,no,Energy,U.S.,San Antonio,29.4658,-98.5253
57,Valero Energy,2019,"$111,407.00 ",26%,"$3,122.00 ",-23.20%,"$50,155.00 ","10,261",17,no,Energy,U.S.,San Antonio,29.4658,-98.5253
74,Valero Energy,2018,"$88,407.00 ",26%,"$4,065.00 ",77.60%,"$50,158.00 ","10,015",32,no,Energy,U.S.,San Antonio,29.4658,-98.5253
69,Wells Fargo,2020,"$103,915.00 ",2.80%,"$19,549.00 ",-12.70%,"$1,927,555.00 ","259,800",-,no,Financials,U.S.,San Francisco,37.7562,-122.443
69,Wells Fargo,2019,"$101,060.00 ",3%,"$22,393.00 ",0.90%,"$1,895,883.00 ","258,700",-7,no,Financials,U.S.,San Francisco,37.7562,-122.443
62,Wells Fargo,2018,"$97,741.00 ",3.80%,"$22,183.00 ",1.10%,"$1,951,757.00 ","262,700",-1,no,Financials,U.S.,San Francisco,37.7562,-122.443
61,Wells Fargo,2017,"$94,176.00 ",4.60%,"$21,938.00 ",-4.20%,"$1,930,115.00 ","269,100",6,no,Financials,U.S.,San Francisco,37.7562,-122.443
75,Chevron,2021,"$94,692.00 ",-35%,"($5,543.00)",-289.60%,"$239,790.00 ","47,736",-39,no,Energy,U.S.,San Ramon,37.7625,-121.9365
36,Chevron,2020,"$146,516.00 ",-11.90%,"$2,924.00 ",-80.30%,"$237,428.00 ","48,200",-8,no,Energy,U.S.,San Ramon,37.7625,-121.9365
28,Chevron,2019,"$166,339.00 ",24%,"$14,824.00 ",61.20%,"$253,863.00 ","48,600",5,no,Energy,U.S.,San Ramon,37.7625,-121.9365
33,Chevron,2018,"$134,533.00 ",25.10%,"$9,195.00 ",-,"$253,806.00 ","51,900",12,no,Energy,U.S.,San Ramon,37.7625,-121.9365
45,Chevron,2017,"$107,567.00 ",-18%,($497.00),-110.80%,"$260,078.00 ","55,200",-14,no,Energy,U.S.,San Ramon,37.7625,-121.9365
3,Amazon,2021,"$386,064.00 ",38%,"$21,331.00 ",84.10%,"$321,195.00 ","1,298,000",6,no,Technology,U.S.,Seattle,47.6211,-122.3244
9,Amazon,2020,"$280,522.00 ",20.50%,"$11,588.00 ",15%,"$225,248.00 ","798,000",4,no,Technology,U.S.,Seattle,47.6211,-122.3244
13,Amazon,2019,"$232,887.00 ",31%,"$10,073.00 ",232.10%,"$162,648.00 ","647,500",5,no,Technology,U.S.,Seattle,47.6211,-122.3244
18,Amazon,2018,"$177,866.00 ",30.80%,"$3,033.00 ",27.90%,"$131,310.00 ","566,000",8,no,Technology,U.S.,Seattle,47.6211,-122.3244
26,Amazon,2017,"$135,987.00 ",27.10%,"$2,371.00 ",297.80%,"$83,402.00 ","341,400",18,no,Technology,U.S.,Seattle,47.6211,-122.3244
57,Centene,2021,"$111,115.00 ",49%,"$1,808.00 ",36.90%,"$68,719.00 ","71,300",70,no,Health Care,U.S.,St. Louis,38.6358,-90.2451
61,Express Scripts Holding,2018,"$100,065.00 ",-0.20%,"$4,517.40 ",32.70%,"$54,255.80 ","26,600",-8,no,Health Care,U.S.,St. Louis,38.6358,-90.2451
53,Express Scripts Holding,2017,"$100,288.00 ",-1.40%,"$3,404.40 ",37.50%,"$51,745.00 ","25,600",-1,no,Health Care,U.S.,St. Louis,38.6358,-90.2451
76,Dell Technologies,2021,"$94,224.00 ",2%,"$3,250.00 ",-29.60%,"$123,415.00 ","158,000",5,no,Technology,U.S.,Texas,29.4128,-94.9658
81,Dell Technologies,2020,"$92,154.00 ",1.70%,"$4,616.00 ",-,"$118,861.00 ","165,000",3,no,Technology,U.S.,Texas,29.4128,-94.9658
84,Dell Technologies,2019,"$90,621.00 ",15%,"($2,310.00)",-,"$111,820.00 ","157,000",9,no,Technology,U.S.,Texas,29.4128,-94.9658
93,Dell Technologies,2018,"$78,660.00 ",21.40%,"($3,728.00)",-,"$122,281.00 ","145,000",31,no,Technology,U.S.,Texas,29.4128,-94.9658
62,Fannie Mae,2021,"$106,437.00 ",-12%,"$11,805.00 ",-16.60%,"$3,985,749.00 ","7,700",-9,no,Financials,U.S.,Washington,38.9072,77.0369
53,Fannie Mae,2020,"$120,304.00 ",0.20%,"$14,160.00 ",-11.30%,"$3,503,319.00 ","7,500",-4,no,Financials,U.S.,Washington,38.9072,77.0369
49,Fannie Mae,2019,"$120,101.00 ",7%,"$15,959.00 ",547.90%,"$3,418,318.00 ","7,400",-1,no,Financials,U.S.,Washington,38.9072,77.0369
48,Fannie Mae,2018,"$112,394.00 ",4.90%,"$2,463.00 ",-80%,"$3,345,529.00 ","7,200",-2,no,Financials,U.S.,Washington,38.9072,77.0369
46,Fannie Mae,2017,"$107,162.00 ",-2.90%,"$12,313.00 ",12.40%,"$3,287,968.00 ","7,000",-6,no,Financials,U.S.,Washington,38.9072,77.0369
99,U.S. Postal Service,2017,"$71,498.00 ",3.70%,"($5,591.00)",-,"$25,219.00 ","574,349",8,no,Transportation,U.S.,Washington,38.9072,77.0369
100,DuPont,2019,"$85,977.00 ",37%,"$3,844.00 ",163.30%,"$188,030.00 ","98,000",47,no,Chemicals,U.S.,Wilmington,51.4309,0.1876
7,CVS Health,2021,"$268,706.00 ",5%,"$7,179.00 ",8.20%,"$230,715.00 ","256,500",6,no,Health Care,U.S.,Woonsocket,42.001,-71.4993
13,CVS Health,2020,"$256,776.00 ",32%,"$6,634.00 ",-,"$222,449.00 ","290,000",6,no,Health Care,U.S.,Woonsocket,42.001,-71.4993
19,CVS Health,2019,"$194,579.00 ",5%,($594.00),-109%,"$196,456.00 ","295,000",-2,no,Health Care,U.S.,Woonsocket,42.001,-71.4993
17,CVS Health,2018,"$184,765.00 ",4.10%,"$6,622.00 ",24.50%,"$95,131.00 ","203,000",-3,no,Health Care,U.S.,Woonsocket,42.001,-71.4993
14,CVS Health,2017,"$177,526.00 ",15.80%,"$5,317.00 ",1.50%,"$94,462.00 ","204,000",4,no,Health Care,U.S.,Woonsocket,42.001,-71.4993
77,General Electric,2020,"$95,214.00 ",-20.80%,"($4,979.00)",-,"$266,048.00 ","205,000",-29,no,Industrials,United Kingdom,Boston,51.5072,0.1276
18,BP,2021,"$183,500.00 ",-35%,"($20,305.00)",-604.30%,"$267,654.00 ","68,100",-10,no,Energy,United Kingdom,London,51.5072,0.1276
8,BP,2020,"$282,616.00 ",-7%,"$4,026.00 ",-57.10%,"$295,194.00 ","72,500",-1,no,Energy,United Kingdom,London,51.5072,0.1276
73,HSBC Holdings,2020,"$98,673.00 ",14.60%,"$7,383.00 ",-46.20%,"$2,715,152.00 ","235,351",26,no,Financials,United Kingdom,London,51.5072,0.1276
80,Prudential PLC,2020,"$93,736.00 ",181.90%,$783.00 ,-80.50%,"$454,214.00 ","18,125",292,no,Financials,United Kingdom,London,51.5072,0.1276
85,Legal & General Group,2020,"$90,615.00 ",-,"$2,340.30 ",-4%,"$742,524.00 ","8,542",-,yes,Financials,United Kingdom,London,51.5072,0.1276
88,Aviva,2020,"$89,647.00 ",277.60%,"$3,251.40 ",55.50%,"$609,327.00 ","31,181",-,yes,Financials,United Kingdom,London,51.5072,0.1276
7,BP,2019,"$303,738.00 ",24%,"$9,383.00 ",176.90%,"$282,176.00 ","73,000",1,no,Energy,United Kingdom,London,51.5072,0.1276
99,HSBC Holdings,2019,"$86,131.00 ",8%,"$13,727.00 ",27.10%,"$2,558,124.00 ","235,217",-9,no,Financials,United Kingdom,London,51.5072,0.1276
8,BP,2018,"$244,582.00 ",31.10%,"$3,389.00 ",2847.00%,"$276,515.00 ","74,000",4,no,Energy,United Kingdom,London,51.5072,0.1276
50,Prudential PLC,2018,"$111,458.00 ",14.9,$30.76 ,18.60%,"$668,029.50 ","24,711",6,no,Financials,United Kingdom,London,51.5072,0.1276
90,HSBC Holdings,2018,"$79,637.00 ",5.70%,"$10,798.00 ",335.60%,"$2,521,771.00 ","228,687",-2,no,Financials,United Kingdom,London,51.5072,0.1276
12,BP,2017,"$186,606.00 ",-17.40%,$115.00 ,-,"$263,316.00 ","74,500",-2,no,Energy,United Kingdom,London,51.5072,0.1276
49,Legal & General Group,2017,"$105,235.00 ",442.30%,"$1,697.90 ",3.40%,"$577,954.00 ","8,939",-,no,Financials,United Kingdom,London,51.5072,0.1276
56,Prudential PLC,2017,"$96,965.00 ",53.70%,"$2,592.80 ",-34.20%,"$581,221.00 ","23,673",70,no,Financials,United Kingdom,London,51.5072,0.1276
88,HSBC Holdings,2017,"$75,329.00 ",-15.40%,"$2,479.00 ",-81.70%,"$2,374,986.00 ","241,000",-20,no,Financials,United Kingdom,London,51.5072,0.1276
90,Aviva,2017,"$74,628.00 ",105.90%,$948.80 ,-32.30%,"$544,063.00 ","29,530",189,no,Financials,United Kingdom,London,51.5072,0.1276
99,Tesco,2021,"$81,248.00 ",-2%,"$7,948.40 ",541%,"$63,983.90 ","242,911",4,no,Food & Drug Stores,United Kingdom,Welwyn Garden City,51.8062,-0.1932
92,Tesco,2017,"$74,393.00 ",-15.10%,($52.70),-125.30%,"$57,052.00 ","342,770",-20,no,Food & Drug Stores,United Kingdom,Welwyn Garden City,51.8062,-0.1932
